98.6328125,
-115.234375,
671.38671875,
-875.0,
-939.453125,
884.765625,
726.5625,
626.46484375,
637.6953125,
-506.8359375,
123.046875,
125.0,
-896.484375,
878.90625,
-725.09765625,
-500.0,
-910.64453125,
11.71875,
810.05859375,
-750.0,
-953.125,
630.859375,
257.32421875,
-368.65234375,
989.2578125,
-125.9765625,
268.06640625,
-250.0,
-896.97265625,
-993.65234375,
-468.26171875,
-250.0,
-918.9453125,
452.1484375,
500.0,
-967.28515625,
376.953125,
-883.30078125,
-111.328125,
875.0,
-391.6015625,
-999.51171875,
-357.421875,
-125.0,
508.30078125,
163.57421875,
375.0,
-925.78125,
137.6953125,
-536.62109375,
-625.0,
-980.46875,
621.09375,
372.0703125,
519.04296875,
729.98046875,
-874.51171875,
518.5546875,
-625.0,
-904.78515625,
-239.2578125,
299.8046875,
-625.0,
-939.453125,
-490.234375,
-395.01953125,
760.25390625,
992.1875,
-251.46484375,
-856.4453125,
-750.0,
-895.99609375,
-996.09375,
-975.09765625,
-250.0,
-912.109375,
-112.3046875,
875.0,
-954.1015625,
6.34765625,
360.83984375,
-615.72265625,
3.41796875,
361.328125,
-0.48828125,
768.06640625,
-1000.0,
-897.4609375,
-966.796875,
-1000.0,
-919.43359375,
388.18359375,
-415.52734375,
375.0,
-970.703125,
251.46484375,
-758.30078125,
-235.3515625,
-1000.0,
-874.0234375,
-357.421875,
-875.0,
-898.92578125,
759.765625,
-582.51953125,
-125.0,
-926.7578125,
763.18359375,
-526.85546875,
-999.0234375,
-628.41796875,
-378.41796875,
519.04296875,
500.0,
-895.5078125,
126.46484375,
-605.46875,
-500.0,
-905.76171875,
636.71875,
182.6171875,
-568.84765625,
884.27734375,
104.98046875,
4.8828125,
7.32421875,
-761.23046875,
999.0234375,
393.06640625,
0.0,
-896.97265625,
130.37109375,
-500.0,
-912.59765625,
388.18359375,
447.265625,
0.0,
-951.171875,
633.30078125,
609.86328125,
-364.74609375,
-873.53515625,
859.375,
-357.421875,
125.0,
-897.94921875,
-616.69921875,
37.109375,
250.0,
-921.38671875,
-612.3046875,
711.42578125,
-750.0,
-980.46875,
-131.8359375,
388.671875,
375.0,
-895.5078125,
125.9765625,
-107.91015625,
875.0,
-898.92578125,
-365.234375,
670.8984375,
-625.0,
-113.76953125,
-275.87890625,
500.48828125,
-237.3046875,
993.1640625,
-626.953125,
268.5546875,
-375.0,
-895.99609375,
-496.58203125,
-227.05078125,
92.7734375,
-238.28125,
-315.4296875,
875.0,
-953.125,
881.8359375,
106.4453125,
-870.60546875,
-742.67578125,
-11.23046875,
874.0234375,
125.0,
-897.4609375,
756.34765625,
31.25,
500.0,
-916.50390625,
-612.3046875,
73.2421875,
250.0,
-966.796875,
-372.55859375,
259.27734375,
-248.046875,
234.375,
500.0,
392.578125,
125.0,
-897.94921875,
-741.69921875,
163.57421875,
250.0,
-925.78125,
461.42578125,
375.0,
-979.98046875,
-628.41796875,
-4.39453125,
-733.3984375,
-125.0,
-895.5078125,
750.9765625,
-981.93359375,
0.0,
510.25390625,
-703.61328125,
-875.0,
-938.96484375,
260.25390625,
-531.25,
-500.0,
-985.83984375,
-632.32421875,
-626.953125,
893.5546875,
729.4921875,
-622.0703125,
399.90234375,
-370.60546875,
-281.73828125,
634.765625,
436.03515625,
-625.0,
-953.125,
381.34765625,
108.3984375,
756.8359375,
-10.7421875,
-500.9765625,
392.578125,
-750.0,
-896.97265625,
-505.859375,
-723.14453125,
500.0,
-919.43359375,
-486.81640625,
875.0,
-966.796875,
626.46484375,
740.72265625,
387.6953125,
375.48828125,
-516.6015625,
125.48828125,
-732.421875,
0.0,
-897.94921875,
-961.42578125,
375.0,
-925.78125,
-987.3046875,
91.796875,
-250.0,
-980.95703125,
371.58203125,
-502.9296875,
144.04296875,
-375.0,
-874.51171875,
518.5546875,
-375.0,
-904.296875,
-739.74609375,
171.38671875,
-1000.0,
-938.96484375,
-990.234375,
-771.484375,
628.41796875,
-632.32421875,
-626.953125,
768.5546875,
-625.0,
-895.99609375,
-996.09375,
-975.09765625,
0.0,
-911.62109375,
-862.79296875,
564.453125,
-578.61328125,
256.34765625,
-889.16015625,
-240.72265625,
128.41796875,
-138.671875,
-375.48828125,
893.06640625,
-875.0,
-896.97265625,
-993.65234375,
-500.0,
-918.9453125,
-611.328125,
-544.43359375,
625.0,
-958.0078125,
-119.140625,
-635.25390625,
-359.375,
-1000.0,
-895.01953125,
-357.421875,
-625.0,
