time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590798486.317097, 0, None, 25.966, 11.251000000000001, 4.757, 1.856, 1.4490000000000003, 49, 49, 49, 49, 
1590798487.317098, -13.257499999999999, None, 18.527, 22.851999999999997, 4.563000000000001, 2.1899999999999995, 1.5639999999999998, 50, 50, 50, 50, 
1590798488.317099, 34.372499999999995, None, 50.361999999999995, 18.123, 4.241, 2.2159999999999997, 1.5520000000000003, 51, 51, 51, 51, 
1590798489.3171, -21.906999999999996, None, 22.604, 8.316, 2.9, 2.5229999999999997, 1.275, 52, 52, 52, 52, 
1590798490.317101, -13.421499999999998, None, 9.746, 8.08, 4.2090000000000005, 1.473, 1.3019999999999998, 53, 53, 53, 53, 
1590798491.3171022, -2.1785000000000023, None, 8.942999999999998, 11.75, 3.5359999999999996, 1.9679999999999997, 1.179, 52, 52, 52, 52, 
1590798492.3171031, 0.0, None, 8.942999999999998, 11.75, 3.5359999999999996, 1.9679999999999997, 1.179, 51, 51, 51, 51, 
1590798493.317104, 11.919500000000006, None, 19.512000000000004, 9.786999999999999, 3.0580000000000003, 3.1569999999999996, 1.0490000000000002, 50, 50, 50, 50, 
1590798494.3171048, 1.0194999999999939, None, 18.362, 5.178000000000001, 3.07, 2.5069999999999997, 1.178, 51, 51, 51, 51, 
1590798495.317106, 20.008500000000005, None, 41.765, 10.212, 4.385, 2.1139999999999994, 1.3980000000000001, 52, 52, 52, 52, 
1590798496.317107, -17.5865, None, 24.842, 12.17, 4.122, 2.2729999999999992, 1.214, 53, 53, 53, 53, 
1590798497.317108, 56.629000000000005, None, 96.485, 35.762, 10.290000000000001, 3.2760000000000002, 1.3479999999999999, 52, 52, 52, 52, 
1590798498.317109, 192.01650000000004, None, 356.05800000000005, 152.84300000000002, 24.312000000000005, 10.581999999999999, 3.352999999999999, 53, 53, 53, 53, 
1590798499.31711, -123.97100000000005, None, 175.565, 53.083, 13.546000000000001, 3.4010000000000007, 2.094, 54, 54, 54, 54, 
1590798500.317111, -147.196, None, 18.439999999999998, 40.019999999999996, 8.491, 1.9060000000000001, 1.224, 55, 55, 55, 55, 
1590798501.317112, 4.454500000000003, None, 17.065, 31.793999999999997, 5.286, 1.736, 1.11, 56, 56, 56, 56, 
1590798502.3171132, 0.7134999999999936, None, 15.616999999999999, 28.960000000000004, 2.701, 1.833, 1.6580000000000001, 55, 55, 55, 55, 
1590798503.317114, -3.0654999999999952, None, 9.782, 23.136999999999997, 3.2310000000000003, 1.9040000000000001, 1.535, 56, 56, 56, 56, 
1590798504.3171148, 7.9704999999999995, None, 21.948, 28.663, 5.353999999999999, 3.205, 1.9060000000000001, 57, 57, 57, 57, 
1590798505.317116, 9.7455, None, 29.031, 24.849, 4.482999999999999, 1.78, 1.586, 58, 58, 58, 58, 
1590798506.317117, -19.211000000000002, None, 29.638, 61.261, 6.739, 3.1469999999999994, 2.0700000000000003, 57, 57, 57, 57, 
1590798507.317118, 0.0, None, 29.638, 61.261, 6.739, 3.1469999999999994, 2.0700000000000003, 58, 58, 58, 58, 
