time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590797067.301374, 0, None, 9.665999999999999, 7.8039999999999985, 6.797, 3.386, 1.7539999999999998, 49, 49, 49, 49, 
1590797068.301375, 9.078000000000003, None, 17.435000000000002, 7.747, 5.158, 2.3630000000000004, 1.2929999999999997, 48, 48, 48, 48, 
1590797069.301376, 0.0, None, 17.435000000000002, 7.747, 5.158, 2.3630000000000004, 1.2929999999999997, 49, 49, 49, 49, 
1590797070.301377, -8.164500000000002, None, 9.043, 8.187999999999999, 4.12, 2.85, 1.364, 50, 50, 50, 50, 
1590797071.301378, 14.970000000000006, None, 26.031000000000006, 11.778, 4.890000000000001, 1.6740000000000002, 1.202, 49, 49, 49, 49, 
1590797072.301379, -0.23100000000000476, None, 24.887, 9.943, 4.495, 2.351, 1.404, 50, 50, 50, 50, 
1590797073.3013802, 38.2905, None, 69.843, 22.520000000000003, 4.688999999999999, 2.9570000000000003, 1.684, 51, 51, 51, 51, 
1590797074.301381, -18.363, None, 46.121, 11.307, 5.536000000000001, 2.5529999999999995, 1.5079999999999998, 52, 52, 52, 52, 
1590797075.3013818, -25.4595, None, 18.404000000000003, 5.444000000000001, 7.282000000000001, 3.2409999999999997, 1.309, 51, 51, 51, 51, 
1590797076.301383, -12.564500000000002, None, 13.335999999999999, 22.762999999999998, 4.093999999999999, 2.002, 1.7400000000000002, 50, 50, 50, 50, 
1590797077.301384, 8.840000000000002, None, 16.042, 11.739, 3.976, 2.5559999999999996, 1.1769999999999998, 51, 51, 51, 51, 
1590797078.301385, -4.6205000000000025, None, 9.319999999999999, 7.711, 3.8769999999999993, 2.179, 1.1389999999999998, 52, 52, 52, 52, 
1590797079.3013859, -1.3949999999999996, None, 10.828999999999999, 12.889, 4.633, 1.6280000000000001, 1.076, 51, 51, 51, 51, 
1590797080.301387, 4.204000000000001, None, 11.622, 6.872999999999999, 3.543, 1.932, 1.218, 52, 52, 52, 52, 
