time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590795852.8036249, 0, None, 20.772, 8.97, 4.888, 1.9449999999999998, 1.274, 51, 51, 51, 51, 
1590795853.803626, -10.501999999999995, None, 14.794, 19.554999999999996, 3.761, 1.734, 1.0690000000000002, 52, 52, 52, 52, 
1590795854.803627, 0.0, None, 14.794, 19.554999999999996, 3.761, 1.734, 1.0690000000000002, 53, 53, 53, 53, 
1590795855.803628, 5.176999999999998, None, 14.097, 10.491, 1.393, 1.6499999999999997, 0.9110000000000001, 54, 54, 54, 54, 
1590795856.8036292, -1.7110000000000007, None, 15.603, 14.819, 3.3530000000000006, 2.656, 0.9840000000000001, 55, 55, 55, 55, 
1590795857.80363, -2.1394999999999964, None, 9.950000000000003, 9.252, 2.043, 1.863, 0.9090000000000001, 56, 56, 56, 56, 
1590795858.803631, 3.9504999999999963, None, 13.287999999999998, 7.872999999999999, 2.1990000000000003, 1.6380000000000001, 0.908, 55, 55, 55, 55, 
1590795859.803632, -2.129500000000002, None, 57.003, 44.58200000000001, 43.909000000000006, 19.528000000000002, 7.543, 54, 54, 54, 54, 
1590795860.803633, 17.42750000000001, None, 28.680000000000003, 6.866999999999999, 2.8409999999999997, 1.907, 1.184, 53, 53, 53, 53, 
1590795861.803634, 30.64399999999999, None, 68.577, 17.083, 10.235000000000001, 4.3260000000000005, 1.632, 52, 52, 52, 52, 
1590795862.803635, -28.961000000000006, None, 36.830999999999996, 15.064000000000002, 7.465999999999998, 2.38, 1.2409999999999999, 51, 51, 51, 51, 
1590795863.803636, -22.2845, None, 9.296999999999999, 9.16, 2.647, 2.7059999999999995, 1.353, 50, 50, 50, 50, 
1590795864.803637, -1.4639999999999984, None, 5.966, 5.505999999999999, 2.553, 2.0780000000000003, 1.36, 51, 51, 51, 51, 
1590795865.803638, 45.44800000000001, None, 58.87500000000001, 20.222, 2.5130000000000003, 2.7769999999999997, 1.4829999999999999, 52, 52, 52, 52, 
1590795866.803639, -25.8075, None, 26.315, 7.354, 2.616, 1.7079999999999997, 1.1130000000000002, 53, 53, 53, 53, 
1590795867.8036401, 96.184, None, 128.482, 16.276000000000003, 5.306, 2.7950000000000004, 1.29, 54, 54, 54, 54, 
1590795868.803641, -109.0405, None, 16.481, 12.573, 3.1259999999999994, 2.4070000000000005, 1.271, 55, 55, 55, 55, 
1590795869.803642, 58.6805, None, 76.846, 13.704, 5.4, 1.9309999999999998, 1.2530000000000001, 56, 56, 56, 56, 
1590795870.8036501, 0.0, None, 76.846, 13.704, 5.4, 1.9309999999999998, 1.2530000000000001, 57, 57, 57, 57, 
1590795871.803676, -57.0185, None, 17.198999999999998, 11.498999999999999, 2.584, 1.815, 1.135, 56, 56, 56, 56, 
1590795872.8036768, 25.928999999999995, None, 48.522999999999996, 17.468, 5.649000000000001, 2.94, 2.0130000000000003, 55, 55, 55, 55, 
1590795873.803678, -16.274, None, 33.144999999999996, 20.468, 6.2589999999999995, 2.4259999999999997, 1.104, 54, 54, 54, 54, 
1590795874.803679, -4.059499999999995, None, 25.856, 13.334000000000001, 6.664, 2.632, 1.2389999999999997, 53, 53, 53, 53, 
1590795875.80368, 8.4345, None, 31.191000000000003, 6.118, 7.946999999999999, 1.894, 1.106, 52, 52, 52, 52, 
1590795876.8036811, -1.1910000000000032, None, 28.936, 8.82, 3.073, 1.7319999999999998, 1.1280000000000001, 53, 53, 53, 53, 
