time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590794675.354031, 0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 51, 51, 51, 51, 
1590794675.454032, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794675.554032, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 51, 51, 51, 51, 
1590794675.654033, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 50, 50, 50, 50, 
1590794675.7540338, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 51, 51, 51, 51, 
1590794675.854034, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794675.954035, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794676.054036, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 54, 54, 54, 54, 
1590794676.154036, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 55, 55, 55, 55, 
1590794676.254037, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 54, 54, 54, 54, 
1590794676.354037, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 55, 55, 55, 55, 
1590794676.454038, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 56, 56, 56, 56, 
1590794676.554038, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 55, 55, 55, 55, 
1590794676.6540391, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 56, 56, 56, 56, 
1590794676.75404, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 55, 55, 55, 55, 
1590794676.8540401, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 54, 54, 54, 54, 
1590794676.954041, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794677.0540411, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794677.154042, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794677.2540421, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794677.3540428, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794677.454043, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794677.554044, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794677.6540449, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 54, 54, 54, 54, 
1590794677.754045, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794677.8540459, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794677.954046, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 51, 51, 51, 51, 
1590794678.0540469, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794678.154047, 0.0, None, 149.89, 67.164, 37.426, 35.315, 78.245, 51, 51, 51, 51, 
1590794678.254048, 0.0, 10.86038875579834, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794678.354049, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 51, 51, 51, 51, 
1590794678.454049, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794678.55405, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794678.65405, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 54, 54, 54, 54, 
1590794678.754051, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 53, 53, 53, 53, 
1590794678.854051, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 52, 52, 52, 52, 
1590794678.9540522, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 51, 51, 51, 51, 
1590794679.054053, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 50, 50, 50, 50, 
1590794679.1540532, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 49, 49, 49, 49, 
1590794679.2540538, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 48, 48, 48, 48, 
1590794679.354054, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 47, 47, 47, 47, 
1590794679.4540548, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 46, 46, 46, 46, 
1590794679.554055, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 45, 45, 45, 45, 
1590794679.6540558, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 46, 46, 46, 46, 
1590794679.754056, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 45, 45, 45, 45, 
1590794679.854057, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 44, 44, 44, 44, 
1590794679.954058, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 43, 43, 43, 43, 
1590794680.054058, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 44, 44, 44, 44, 
1590794680.154059, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 43, 43, 43, 43, 
1590794680.254059, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 42, 42, 42, 42, 
1590794680.35406, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 41, 41, 41, 41, 
1590794680.45406, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 40, 40, 40, 40, 
1590794680.5540612, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 39, 39, 39, 39, 
1590794680.654062, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 38, 38, 38, 38, 
1590794680.7540622, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 37, 37, 37, 37, 
1590794680.854063, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 36, 36, 36, 36, 
1590794680.9540632, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 35, 35, 35, 35, 
1590794681.054064, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 34, 34, 34, 34, 
1590794681.154065, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 35, 35, 35, 35, 
1590794681.254066, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 36, 36, 36, 36, 
1590794681.3540668, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 35, 35, 35, 35, 
1590794681.454067, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 36, 36, 36, 36, 
1590794681.5540679, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 35, 35, 35, 35, 
1590794681.654068, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 34, 34, 34, 34, 
1590794681.754069, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 33, 33, 33, 33, 
1590794681.85407, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 32, 32, 32, 32, 
1590794681.95407, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 31, 31, 31, 31, 
1590794682.054071, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 30, 30, 30, 30, 
1590794682.154071, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 31, 31, 31, 31, 
1590794682.254072, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 30, 30, 30, 30, 
1590794682.354072, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 29, 29, 29, 29, 
1590794682.4540732, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 30, 30, 30, 30, 
1590794682.554074, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 29, 29, 29, 29, 
1590794682.6540742, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 30, 30, 30, 30, 
1590794682.7540748, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 29, 29, 29, 29, 
1590794682.854075, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 30, 30, 30, 30, 
1590794682.9540758, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 29, 29, 29, 29, 
1590794683.054076, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 28, 28, 28, 28, 
1590794683.1540768, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 27, 27, 27, 27, 
1590794683.254077, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 26, 26, 26, 26, 
1590794683.354078, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 25, 25, 25, 25, 
1590794683.454079, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 24, 24, 24, 24, 
1590794683.554079, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 23, 23, 23, 23, 
1590794683.65408, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 22, 22, 22, 22, 
1590794683.75408, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 21, 21, 21, 21, 
1590794683.854081, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 22, 22, 22, 22, 
1590794683.954081, 0.0, 0.0, 149.89, 67.164, 37.426, 35.315, 78.245, 21, 21, 21, 21, 
