time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590631886.7513442, 0, None, 67.757, 13.166999999999998, 4.858999999999999, 3.1679999999999997, 2.3550000000000004, 49, 49, 49, 49, 
1590631886.8513448, 0.0, None, 67.757, 13.166999999999998, 4.858999999999999, 3.1679999999999997, 2.3550000000000004, 48, 48, 48, 48, 
1590631886.951345, 0.0, None, 67.757, 13.166999999999998, 4.858999999999999, 3.1679999999999997, 2.3550000000000004, 49, 49, 49, 49, 
1590631887.0513458, 0.0, None, 67.757, 13.166999999999998, 4.858999999999999, 3.1679999999999997, 2.3550000000000004, 50, 50, 50, 50, 
1590631887.151346, -32.989, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 49, 49, 49, 49, 
1590631887.2513468, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 48, 48, 48, 48, 
1590631887.351347, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 49, 49, 49, 49, 
1590631887.451348, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 50, 50, 50, 50, 
1590631887.551349, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 49, 49, 49, 49, 
1590631887.651349, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 48, 48, 48, 48, 
1590631887.75135, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 47, 47, 47, 47, 
1590631887.85135, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 46, 46, 46, 46, 
1590631887.951351, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 45, 45, 45, 45, 
1590631888.051351, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 46, 46, 46, 46, 
1590631888.1513522, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 45, 45, 45, 45, 
1590631888.251353, 0.0, None, 38.70900000000001, 16.433, 8.170999999999998, 3.574, 3.0070000000000006, 44, 44, 44, 44, 
1590631888.3513532, -5.50000000000001, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 43, 43, 43, 43, 
1590631888.451354, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 44, 44, 44, 44, 
1590631888.5513542, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 43, 43, 43, 43, 
1590631888.651362, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 44, 44, 44, 44, 
1590631888.751362, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 45, 45, 45, 45, 
1590631888.8513632, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 44, 44, 44, 44, 
1590631888.951371, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 45, 45, 45, 45, 
1590631889.051371, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 44, 44, 44, 44, 
1590631889.151372, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 45, 45, 45, 45, 
1590631889.251372, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 44, 44, 44, 44, 
1590631889.351373, 0.0, None, 31.407, 17.124, 5.244, 4.116999999999999, 2.3229999999999995, 45, 45, 45, 45, 
1590631889.451373, -23.466000000000005, None, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 44, 44, 44, 44, 
1590631889.551389, 0.0, None, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 45, 45, 45, 45, 
1590631889.651391, 0.0, 2.0156540870666504, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 44, 44, 44, 44, 
1590631889.751392, 0.0, 2.0144174098968506, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 43, 43, 43, 43, 
1590631889.851398, 0.0, 1.8480956554412842, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 44, 44, 44, 44, 
1590631889.9513988, 0.0, 2.0139265060424805, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 45, 45, 45, 45, 
1590631890.051405, 0.0, 2.0142688751220703, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 46, 46, 46, 46, 
1590631890.151405, 0.0, 2.01496958732605, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 45, 45, 45, 45, 
1590631890.2514062, 0.0, 2.015407085418701, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 44, 44, 44, 44, 
1590631890.351407, 0.0, 2.01552677154541, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 43, 43, 43, 43, 
1590631890.4514072, 0.0, 2.0155274868011475, 8.783, 15.805, 8.227, 3.7749999999999995, 2.333, 42, 42, 42, 42, 
1590631890.5514162, 13.876000000000001, 2.293626070022583, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 41, 41, 41, 41, 
1590631890.651417, 0.0, 2.2932589054107666, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 40, 40, 40, 40, 
1590631890.7514172, 0.0, 1.2095574140548706, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 39, 39, 39, 39, 
1590631890.851418, 0.0, 2.0147478580474854, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 40, 40, 40, 40, 
1590631890.9514182, 0.0, 1.3764550685882568, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 41, 41, 41, 41, 
1590631891.0514188, 0.0, 1.3762226104736328, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 42, 42, 42, 42, 
1590631891.151419, 0.0, 1.085445761680603, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 41, 41, 41, 41, 
1590631891.251439, 0.0, 0.9303190112113953, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 42, 42, 42, 42, 
1590631891.35144, 0.0, 2.458630323410034, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 41, 41, 41, 41, 
1590631891.45144, 0.0, 1.8451787233352661, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 40, 40, 40, 40, 
1590631891.551441, 0.0, 1.6993402242660522, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 41, 41, 41, 41, 
1590631891.6514418, 0.0, 0.9308944344520569, 21.409, 16.581, 4.299, 2.959000000000001, 2.659, 42, 42, 42, 42, 
1590631891.751442, -11.170499999999992, 0.9721034169197083, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 41, 41, 41, 41, 
1590631891.851443, 0.0, 2.005476951599121, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 40, 40, 40, 40, 
1590631891.951457, 0.0, 2.282341241836548, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 39, 39, 39, 39, 
1590631892.0514581, 0.0, 1.8691022396087646, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 40, 40, 40, 40, 
1590631892.151459, 0.0, 2.5074217319488525, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 39, 39, 39, 39, 
1590631892.2514591, 0.0, 2.6264312267303467, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 38, 38, 38, 38, 
1590631892.35146, 0.0, 0.9714659452438354, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 39, 39, 39, 39, 
1590631892.4514601, 0.0, 2.628934383392334, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 38, 38, 38, 38, 
1590631892.5514739, 0.0, 2.6419763565063477, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 39, 39, 39, 39, 
1590631892.651474, 0.0, 1.6949732303619385, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 38, 38, 38, 38, 
1590631892.7514749, 0.0, 0.9838217496871948, 26.892000000000003, 46.84499999999999, 8.182, 4.385, 2.2390000000000003, 37, 37, 37, 37, 
1590631892.851485, 14.716999999999985, 0.8209943175315857, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 38, 38, 38, 38, 
1590631892.9514859, 0.0, 0.5148188471794128, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 39, 39, 39, 39, 
1590631893.051486, 0.0, 1.7756022214889526, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 38, 38, 38, 38, 
1590631893.1514869, 0.0, 1.1162822246551514, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 37, 37, 37, 37, 
1590631893.251487, 0.0, 1.2679064273834229, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 36, 36, 36, 36, 
1590631893.351488, 0.0, 0.48275819420814514, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 35, 35, 35, 35, 
1590631893.451489, 0.0, 1.5593171119689941, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 34, 34, 34, 34, 
1590631893.551489, 0.0, 1.678329348564148, 36.471999999999994, 36.114000000000004, 8.295, 5.066, 2.411, 33, 33, 33, 33, 
