time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590796564.881956, 0, None, 12.548999999999998, 7.357, 3.29, 2.8919999999999995, 1.3629999999999998, 51, 51, 51, 51, 
1590796565.881957, 13.118000000000006, None, 27.930000000000003, 12.370999999999999, 2.848, 2.606, 1.3400000000000003, 50, 50, 50, 50, 
1590796566.8819578, -16.111000000000008, None, 9.853, 8.337, 2.7920000000000003, 2.606, 1.4190000000000003, 49, 49, 49, 49, 
1590796567.881959, 24.668999999999997, None, 35.937, 11.236, 2.8770000000000002, 1.8549999999999998, 1.3419999999999999, 50, 50, 50, 50, 
1590796568.88196, -14.3645, None, 18.458, 5.677, 2.229, 2.4939999999999998, 1.331, 51, 51, 51, 51, 
1590796569.8819609, 3.023500000000001, None, 25.055, 12.363, 3.0179999999999993, 2.707, 1.167, 50, 50, 50, 50, 
1590796570.881962, -14.724999999999998, None, 7.929, 8.279, 2.3579999999999997, 2.561, 1.1380000000000001, 49, 49, 49, 49, 
1590796571.881963, 4.596500000000001, None, 11.639000000000001, 6.135999999999999, 2.364, 1.916, 1.32, 48, 48, 48, 48, 
1590796572.881964, 1.5150000000000001, None, 14.167000000000002, 6.858, 3.3460000000000005, 1.983, 1.4809999999999999, 49, 49, 49, 49, 
1590796573.8819652, 0.0, None, 14.167000000000002, 6.858, 3.3460000000000005, 1.983, 1.4809999999999999, 50, 50, 50, 50, 
1590796574.881966, 1.400499999999995, None, 16.537999999999997, 8.496, 4.0889999999999995, 1.825, 1.2610000000000001, 51, 51, 51, 51, 
1590796575.881967, -7.352999999999998, None, 7.278, 4.599, 3.9619999999999997, 2.5859999999999994, 1.3660000000000003, 50, 50, 50, 50, 
1590796576.881968, 2.7510000000000003, None, 12.446, 9.819999999999999, 3.7290000000000005, 1.7660000000000002, 1.2890000000000001, 49, 49, 49, 49, 
1590796577.88197, 4.654, None, 16.203, 9.008, 2.903, 2.128, 1.211, 48, 48, 48, 48, 
1590796578.881971, 6.662000000000001, None, 23.907, 10.078999999999999, 3.3699999999999997, 2.775, 1.484, 47, 47, 47, 47, 
1590796579.88198, -13.490500000000003, None, 9.232999999999999, 6.516, 4.534000000000001, 2.2390000000000003, 1.5, 46, 46, 46, 46, 
1590796580.881981, 224.22400000000005, None, 501.91600000000005, 319.51099999999997, 205.881, 34.571000000000005, 12.787999999999998, 47, 47, 47, 47, 
1590796581.8819818, 1298.1579999999997, None, 2799.647, 1081.468, 854.694, 498.241, 306.97600000000006, 46, 46, 46, 46, 
1590796582.881983, -501.5064999999992, None, 1970.9940000000006, 699.56, 609.393, 537.9099999999999, 293.43399999999997, 45, 45, 45, 45, 
1590796583.881984, -1015.2745000000007, None, 24.446, 17.027, 11.456999999999999, 3.191, 2.395, 44, 44, 44, 44, 
1590796584.881985, 47.15999999999999, None, 98.38099999999999, 68.451, 14.383000000000001, 6.199999999999999, 1.9949999999999999, 45, 45, 45, 45, 
1590796585.8819861, 311.9935000000001, None, 417.446, 67.017, 28.125999999999994, 14.270999999999999, 2.912, 46, 46, 46, 46, 
1590796586.881987, -334.79650000000004, None, 47.981999999999985, 22.474999999999998, 5.802999999999999, 4.470000000000001, 1.6769999999999998, 45, 45, 45, 45, 
1590796587.881988, 0.0, None, 47.981999999999985, 22.474999999999998, 5.802999999999999, 4.470000000000001, 1.6769999999999998, 44, 44, 44, 44, 
1590796588.881989, -17.255999999999982, None, 31.522000000000006, 25.560000000000002, 4.954, 2.7399999999999998, 1.355, 43, 43, 43, 43, 
1590796589.88199, 6.481999999999985, None, 39.69599999999999, 23.928000000000004, 8.685999999999998, 4.644, 1.9969999999999999, 42, 42, 42, 42, 
1590796590.881991, 37.60450000000001, None, 70.729, 12.865999999999994, 5.545, 4.001, 2.527, 43, 43, 43, 43, 
1590796591.8819919, -29.35450000000001, None, 38.983999999999995, 8.036, 7.258000000000001, 3.4099999999999993, 1.695, 44, 44, 44, 44, 
1590796592.881993, 266.5634999999999, None, 325.0899999999999, 26.6, 24.295, 9.684, 3.437, 45, 45, 45, 45, 
