time, reward, loss, alpha, low beta, high beta, gamma, theta, mod1, mod2, mod3, mod4, mod5
1590447897.8702831, 0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 375, 375, 375, 375, 
1590447898.870284, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 350, 350, 350, 350, 
1590447899.870285, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 325, 325, 325, 325, 
1590447900.870286, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 300, 300, 300, 300, 
1590447901.8702872, 0.0, None, 288.82700000000006, 82.58, 28.572000000000003, 16.794999999999998, 8.711, 275, 275, 275, 275, 
